ID_Venta,Producto,Ciudad,Categoria,Precio_Unitario,Cantidad,Fecha_Venta,Cliente,Email,Telefono,Direccion,Metodo_Pago,Estado,Comentario,Descuento
28,OWNER,East Jonathan,TV,2400,22,2024-12-09,Daniel Garcia,edward94@example.org,(001) 19330387387349,"USS Fuller
FPO AA 30334",Efectivo,Entregado,Producto defectuoso,21
20,EDUCATION,Trujillofort,SPRING,600,18,2023-01-04,Larry Welch,powersjimmy@example.org,(175) 175834,"03346 Tony Spring Apt. 633
Ericberg, AK 73272",Efectivo,Entregado,Producto defectuoso,87
25,STRATEGY,Nguyenshire,GROUP,900,28,2023-05-05,Kelsey Lopez,estesjon@example.org,8572628794,"493 Cameron Ramp
Veronicatown, MI 81010",Efectivo,En camino,Producto defectuoso,12
9,PRESENT,South Thomas,BUDGET,700,27,2023-06-28,Sharon Lowe,estesjon@example.org,(001) 94337542187814,"29882 Stein Tunnel Apt. 468
Port Jacquelineville, HI 77063",Efectivo,Entregado,Producto defectuoso,28
9,SONG,New Reginaldmouth,AT,200,29,2023-07-08,Alan Bird,edward94@example.org,(001) 36332501439284,"30768 Louis Mill
Lake Carmen, LA 47934",Tarjeta,Entregado,Producto defectuoso,14
5,WAIT,Valerietown,WHOM,1300,27,2023-06-28,Crystal Chambers,estesjon@example.org,8572628794,"283 Cynthia Groves Apt. 671
Weavermouth, ID 06739",Efectivo,Entregado,Producto defectuoso,19
21,UNDER,Lindaport,WHOM,1300,14,2023-07-10,David Norton,powersjimmy@example.org,8572628794,"9978 Kenneth Plaza Suite 069
Monicafurt, NM 39529",Efectivo,Entregado,Producto defectuoso,72
10,DEMOCRATIC,Milesburgh,LEADER,200,11,2023-06-06,Michelle Mitchell,estesjon@example.org,2805046212,"30768 Louis Mill
Lake Carmen, LA 47934",Tarjeta,Entregado,Producto defectuoso,19
19,DOOR,Jodichester,BUDGET,300,22,2023-06-17,Alan Bird,ydavid@example.com,(110) 59261937727,"915 Mathis Camp Apt. 447
Thomastown, MS 44338",Tarjeta,Entregado,Ninguno,27
17,DOOR,East Jonathan,INDIVIDUAL,300,25,2024-12-09,Lisa Stafford,rdaugherty@example.net,(870) 608083698,"USS Fuller
FPO AA 30334",Tarjeta,Entregado,Ninguno,12
